commit	val_bpb	memory_gb	status	description
730c429	2.390535	21.2	keep	baseline (AdamW, default config, M4 Mac Mini 32GB)
f597b58	2.356641	20.2	keep	smaller MLP, 4x -> 3x n_embd
3ae14ac	2.166266	20.7	keep	remove logit cap (15*tanh(x/15))
9db76b3	2.092863	20.7	keep	lower SCALAR_LR 0.5 -> 0.25
6ab0801	2.112233	20.7	discard	DEVICE_BATCH_SIZE 16 -> 32 (no grad accum)
93eb9ae	2.266452	20.7	discard	WARMDOWN_RATIO 0.5 -> 0.7 (longer anneal)
bc8aa45	2.176665	20.7	discard	WEIGHT_DECAY 0.2 -> 0.1 (lower regularization)
bd12d14	2.117663	20.7	discard	MATRIX_LR 0.04 -> 0.05 (push LR up)
6cfad84	2.196019	20.7	discard	MATRIX_LR 0.04 -> 0.03 (push LR down)
84d03b1	2.213933	20.7	discard	DEPTH 4 -> 3 (smaller model, more steps)
0cabea1	2.342132	23.1	discard	DEPTH 4 -> 5 (more layers, also wider via ASPECT_RATIO)
d7ee733	2.060207	22.2	keep	SiLU activation (replace squared ReLU)
378a4e1	2.055322	21.2	keep	smaller MLP, 3x -> 2x n_embd
9b91414	2.096963	21.2	discard	WARMDOWN_RATIO 0.5 -> 0.3 (less anneal)
0f6d61b	2.176529	21.2	discard	ADAM_BETAS beta1 0.8 -> 0.9
f420588	2.093585	21.2	discard	EMBEDDING_LR 0.6 -> 0.4 (lower)
683e92a	2.076625	21.2	discard	EMBEDDING_LR 0.6 -> 0.8 (higher)
7691bb8	2.165647	21.2	discard	HEAD_DIM 128 -> 64 (4 heads instead of 2)
dd5a197	2.289093	21.2	discard	WARMUP_RATIO 0 -> 0.05 (5% warmup)
